(-80.4352479, 37.2410033)	(-80.43563870086463, 37.24022983767377)
(-80.4351966, 37.2410801)	(-80.4352479, 37.2410033)
(-80.4351966, 37.2410801)	(-80.4351331, 37.2410518)
(-80.4351331, 37.2410518)	(-80.43498690000001, 37.241211799999995)
(-80.43498690000001, 37.241211799999995)	(-80.4349869, 37.2412118)
(-80.4348816, 37.241401)	(-80.4349869, 37.2412118)
(-80.4349869, 37.2412118)	(-80.43498690000001, 37.241211799999995)
(-80.434787, 37.2415575)	(-80.4348816, 37.241401)
(-80.4346632, 37.2417301)	(-80.434787, 37.2415575)
(-80.4346632, 37.2417301)	(-80.4345314, 37.2418715)
(-80.4345314, 37.2418715)	(-80.43413194650596, 37.24203366964416)
(-80.43413194650596, 37.24203366964416)	(-80.4341166, 37.2420399)
(-80.4341504, 37.2418612)	(-80.43412207237309, 37.24201096766059)
(-80.43412207237309, 37.24201096766059)	(-80.4341166, 37.2420399)
(-80.4341504, 37.2418612)	(-80.434031, 37.2418101)
(-80.4341166, 37.2420399)	(-80.4331656, 37.2422215)
(-80.4331656, 37.2422215)	(-80.4330506, 37.2422435)
(-80.4330684, 37.2423041)	(-80.4330506, 37.2422435)
(-80.43252055273591, 37.242409640698106)	(-80.4330684, 37.2423041)
(-80.43252055273591, 37.242409640698106)	(-80.4321863, 37.2424737)
(-80.4321863, 37.2424737)	(-80.4322078, 37.2425271)
(-80.432357, 37.2427411)	(-80.4322078, 37.2425271)
(-80.432357, 37.2427411)	(-80.4327427, 37.2429277)
(-80.4327427, 37.2429277)	(-80.4331120637915, 37.243104710939264)
(-80.4331120637915, 37.243104710939264)	(-80.43321336372989, 37.2431532571088)
(-80.432357, 37.2427411)	(-80.4323185, 37.2428262)
(-80.4323185, 37.2428262)	(-80.4325339, 37.2429344)
(-80.4325339, 37.2429344)	(-80.43253390000001, 37.242934399999996)
(-80.4323255, 37.2431949)	(-80.4325339, 37.2429344)
(-80.4325339, 37.2429344)	(-80.43253390000001, 37.242934399999996)
(-80.4322078, 37.2425271)	(-80.4323129, 37.242507)
(-80.4328557, 37.2427128)	(-80.4323129, 37.242507)
